DATE,GDP,UnemploymentRate,CPI,PMI,FedFundsRate,Treasury10Y,Treasury2Y,SP500,VIX,YieldCurve
2014-09-30,17804.228,6.2,237.498,101.516,0.09,2.58,0.47,,11.15,2.1100000000000003
2014-12-31,17912.079,5.7,237.43,100.8816,0.09,2.42,0.53,,16.71,1.89
2015-03-31,18063.529,5.7,234.747,100.7857,0.11,2.42,0.53,,,
2015-06-30,18279.784,5.4,236.222,100.3447,0.12,1.87,0.55,,15.11,1.32
2015-09-30,18401.626,5.2,238.034,100.7102,0.13,2.43,0.69,,16.09,1.7400000000000002
2015-12-31,18435.137,5.0,237.733,100.0112,0.12,2.05,0.64,,22.55,1.4099999999999997
2016-03-31,18525.933,4.8,237.652,99.9002,0.34,2.05,0.64,,,
2016-06-30,18711.702,5.1,238.992,99.4128,0.37,1.79,0.76,2072.78,13.1,1.03
2016-09-30,18892.639,4.8,240.101,99.6224,0.39,1.46,0.59,2102.95,14.77,0.87
2016-12-31,19089.379,4.9,241.741,99.4863,0.4,1.46,0.59,,,
2017-03-31,19280.084,4.7,243.618,99.5441,0.65,1.46,0.59,,,
2017-06-30,19438.643,4.4,244.193,100.3189,0.9,1.46,0.59,,,
2017-09-30,19692.595,4.3,244.243,99.8077,1.15,1.46,0.59,,,
2017-12-31,20037.088,4.2,246.626,100.7464,1.15,1.46,0.59,,,
2018-03-31,20328.553,4.0,248.859,100.2412,1.41,1.46,0.59,,,
2018-06-30,20580.912,4.0,250.227,101.8116,1.69,1.46,0.59,,,
2018-09-30,20798.73,3.8,251.214,101.7704,1.91,1.46,0.59,,,
2018-12-31,20917.867,3.8,252.772,101.6625,2.19,3.09,2.82,2924.59,12.0,0.27
2019-03-31,21111.6,4.0,252.561,100.8777,2.4,3.09,2.82,,,
2019-06-30,21397.938,3.7,255.233,99.4028,2.42,2.49,2.33,2867.19,13.4,0.16000000000000014
2019-09-30,21717.171,3.7,255.802,99.0618,2.4,2.03,1.78,2964.33,14.06,0.24999999999999978
2019-12-31,21933.217,3.6,257.155,98.0889,1.83,1.65,1.56,2940.25,18.56,0.08999999999999986
2020-03-31,21751.238,3.6,259.127,98.6069,1.55,1.65,1.56,,,
2020-06-30,19958.291,14.8,256.032,79.8587,0.05,0.62,0.23,2470.5,57.06,0.39
2020-09-30,21704.437,10.2,258.352,93.2857,0.09,0.69,0.17,3115.86,28.62,0.5199999999999999
2020-12-31,22087.16,6.9,260.319,95.5707,0.09,0.68,0.14,3380.8,26.7,0.54
2021-03-31,22680.693,6.4,262.639,97.7998,0.09,0.68,0.14,,,
2021-06-30,23425.91,6.1,266.625,96.8939,0.07,1.69,0.17,4019.87,17.33,1.52
2021-09-30,23982.379,5.4,271.965,98.8487,0.1,1.48,0.25,4319.94,15.48,1.23
2021-12-31,24813.6,4.5,276.528,98.4333,0.08,1.48,0.27,4357.04,21.15,1.21
2022-03-31,25250.347,4.0,282.542,97.9535,0.08,1.48,0.27,,,
2022-06-30,25861.292,3.7,288.582,98.9204,0.33,2.39,2.44,4545.86,19.63,-0.04999999999999982
2022-09-30,26336.304,3.5,294.94,98.0214,1.68,2.88,2.84,3825.33,26.7,0.040000000000000036
2022-12-31,26770.514,3.6,297.979,98.239,3.08,2.88,2.84,,,
2023-03-31,27216.445,3.5,300.456,97.4332,4.33,2.88,2.84,,,
2023-06-30,27530.055,3.4,302.858,97.7738,4.83,2.88,2.84,,,
2023-09-30,28074.846,3.5,304.615,97.3075,5.12,2.88,2.84,,,
2023-12-31,28424.722,3.9,307.653,96.786,5.33,2.88,2.84,,,
2024-03-31,28708.161,3.7,309.794,95.7457,5.33,2.88,2.84,,,
2024-06-30,29147.044,3.9,313.016,96.564,5.33,4.33,4.72,5243.77,13.65,-0.3899999999999997
2024-09-30,29511.664,4.2,313.566,96.1663,5.33,4.48,4.77,5475.09,12.22,-0.28999999999999915
2024-12-31,29825.182,4.1,315.564,95.4449,4.83,3.74,3.61,5708.75,19.26,0.13000000000000034
2025-03-31,30042.113,4.0,319.086,95.7673,4.33,3.74,3.61,,,
2025-06-30,30485.729,4.2,320.321,97.3314,4.33,4.17,3.87,5633.07,21.77,0.2999999999999998
